a,b,m,d,k,n
35,11,1,5,1,1
35,10,1,3,10,2
35,9,1,3,0,2
36,8,1,3,2,2
37,8,1,3,4,2
37,9,1,3,6,2
36,10,1,3,8,2
6,4,1,3,8,2
5,4,1,3,10,2
5,3,1,3,0,2
6,2,1,3,2,2
7,2,1,3,4,2
7,3,1,3,6,2
10,7,1,5,3,1
8,8,1,4,1,1
7,7,1,5,3,1
8,5,1,5,9,1
10,4,1,4,7,1
11,5,1,5,9,1
7,6,1,3,6,2
6,7,1,3,8,2
5,7,1,3,10,2
5,6,1,3,0,2
6,5,1,3,2,2
7,5,1,3,4,2
9,7,1,3,8,2
8,7,1,3,10,2
8,6,1,3,0,2
9,5,1,3,2,2
10,5,1,3,4,2
10,6,1,3,6,2
16,4,1,5,11,1
14,5,1,6,8,2
13,4,1,5,7,1
14,2,1,4,5,1
16,1,1,4,7,1
17,2,1,4,9,1
13,10,1,5,3,1
11,11,1,4,1,1
10,10,1,4,3,1
11,8,1,5,5,1
13,7,1,6,2,2
14,8,1,6,5,3
12,7,1,4,0,2
11,7,1,4,2,2
11,6,1,4,4,2
12,5,1,4,6,2
13,5,1,4,8,2
13,6,1,4,10,2
35,20,2,3,9,3
34,19,2,3,11,3
35,17,2,3,1,3
37,16,2,3,3,3
38,17,2,3,5,3
37,19,2,3,7,3
19,7,1,6,10,2
17,8,1,6,8,2
16,7,1,6,10,2
17,5,1,5,9,1
19,4,1,4,7,1
20,5,1,5,9,1
16,6,1,3,6,2
15,7,1,4,8,2
14,7,1,4,6,2
14,6,1,3,0,2
15,5,1,3,2,2
16,5,1,3,4,2
25,4,1,4,11,1
23,5,1,5,1,1
22,4,1,5,7,1
23,2,1,4,5,1
25,1,1,4,7,1
26,2,1,4,9,1
15,4,1,3,8,2
14,4,1,3,10,2
14,3,1,3,0,2
15,2,1,3,2,2
16,2,1,3,4,2
16,3,1,3,6,2
16,13,1,6,2,2
14,14,1,5,5,1
13,13,1,4,3,1
14,11,1,5,5,1
16,10,1,6,10,2
17,11,1,6,8,2
15,10,1,3,8,2
14,10,1,3,10,2
14,9,1,4,0,2
15,8,1,4,10,2
16,8,1,3,4,2
16,9,1,3,6,2
15,13,1,3,8,2
14,13,1,3,10,2
14,12,1,3,0,2
15,11,1,3,2,2
16,11,1,3,4,2
16,12,1,3,6,2
22,10,1,6,11,3
20,11,1,6,8,2
19,10,1,6,0,4
20,8,1,6,8,2
22,7,1,5,11,1
23,8,1,5,9,1
19,16,1,6,10,2
17,17,1,6,8,2
16,16,1,6,6,2
17,14,1,6,4,2
19,13,1,6,2,2
20,14,1,6,0,2
18,13,1,4,0,2
17,13,1,4,2,2
17,12,1,4,4,2
18,11,1,5,6,2
19,11,1,5,0,2
19,12,1,4,10,2
53,38,2,3,9,3
52,37,2,3,11,3
53,35,2,3,1,3
55,34,2,3,3,3
56,35,2,3,5,3
55,37,2,3,7,3
25,13,1,4,11,1
23,14,1,5,1,1
22,13,1,6,10,2
23,11,1,6,0,2
25,10,1,6,10,2
26,11,1,5,1,1
22,12,1,3,6,2
21,13,1,3,8,2
20,13,1,3,10,2
20,12,1,3,0,2
21,11,1,4,2,2
22,11,1,4,0,2
19,9,1,4,6,2
18,10,1,4,4,2
17,10,1,3,10,2
17,9,1,3,0,2
18,8,1,3,2,2
19,8,1,3,4,2
21,10,1,4,4,2
20,10,1,4,10,2
20,9,1,4,8,2
21,8,1,3,2,2
22,8,1,3,4,2
22,9,1,4,6,2
59,29,2,4,9,3
58,31,2,4,11,3
56,32,2,4,1,3
55,31,2,4,3,3
56,29,2,4,5,3
58,28,2,4,7,3
58,30,2,3,6,4
57,31,2,3,8,4
56,31,2,3,10,4
56,30,2,3,0,4
57,29,2,3,2,4
58,29,2,3,4,4
18,7,1,3,8,2
17,7,1,3,10,2
17,6,1,3,0,2
18,5,1,3,2,2
19,5,1,3,4,2
19,6,1,3,6,2
21,7,1,3,8,2
20,7,1,3,10,2
20,6,1,3,0,2
21,5,1,3,2,2
22,5,1,3,4,2
22,6,1,3,6,2
24,4,1,3,8,2
23,4,1,3,10,2
23,3,1,3,0,2
24,2,1,3,2,2
25,2,1,3,4,2
25,3,1,3,6,2
31,10,1,6,2,2
29,11,1,5,5,1
28,10,1,5,3,1
29,8,1,5,9,1
31,7,1,4,7,1
32,8,1,5,9,1
32,9,1,3,0,2
33,8,1,3,2,2
34,8,1,3,4,2
34,9,1,3,6,2
33,10,1,3,8,2
32,10,1,3,10,2
12,10,1,3,8,2
11,10,1,3,10,2
11,9,1,3,0,2
12,8,1,3,2,2
13,8,1,4,4,2
13,9,1,4,2,2
40,25,2,3,11,3
41,23,2,3,1,3
43,22,2,3,3,3
44,23,2,3,5,3
43,25,2,3,7,3
41,26,2,3,9,3
4,19,1,4,7,1
2,20,1,4,5,1
1,19,1,3,11,1
2,17,1,3,1,1
4,16,1,3,3,1
5,17,1,3,5,1
18,25,1,3,8,2
17,25,1,3,10,2
17,24,1,4,0,2
18,23,1,4,10,2
19,23,1,3,4,2
19,24,1,3,6,2
13,28,1,4,11,1
11,29,1,4,1,1
10,28,1,4,3,1
11,26,1,5,5,1
13,25,1,6,6,2
14,26,1,5,1,1
12,28,1,3,8,2
11,28,1,3,10,2
11,27,1,3,0,2
12,26,1,3,2,2
13,26,1,3,4,2
13,27,1,3,6,2
16,22,1,6,6,2
14,23,1,6,4,2
13,22,1,5,7,1
14,20,1,5,5,1
16,19,1,6,3,3
17,20,1,6,4,2
15,23,1,3,2,2
16,23,1,4,4,2
16,24,1,4,2,2
15,25,1,3,8,2
14,25,1,3,10,2
14,24,1,3,0,2
33,13,1,3,8,2
32,13,1,3,10,2
32,12,1,3,0,2
33,11,1,3,2,2
34,11,1,3,4,2
34,12,1,3,6,2
31,19,1,4,11,1
29,20,1,4,1,1
28,19,1,5,3,1
29,17,1,6,8,2
31,16,1,6,6,2
32,17,1,5,1,1
32,16,1,3,10,2
32,15,1,3,0,2
33,14,1,3,2,2
34,14,1,3,4,2
34,15,1,3,6,2
33,16,1,3,8,2
30,19,1,3,8,2
29,19,1,3,10,2
29,18,1,3,0,2
30,17,1,3,2,2
31,17,1,3,4,2
31,18,1,3,6,2
25,22,1,3,7,1
23,23,1,4,9,1
22,22,1,4,7,1
23,20,1,4,1,1
25,19,1,5,3,1
26,20,1,4,1,1
28,16,1,6,10,2
26,17,1,6,8,2
25,16,1,5,7,1
26,14,1,4,5,1
28,13,1,5,7,1
29,14,1,6,0,2
27,17,1,4,6,2
28,17,1,4,8,2
28,18,1,4,10,2
27,19,1,4,0,2
26,19,1,4,2,2
26,18,1,4,4,2
82,52,2,3,3,3
83,53,2,3,5,3
82,55,2,3,7,3
80,56,2,3,9,3
79,55,2,3,11,3
80,53,2,3,1,3
22,19,1,4,3,1
20,20,1,4,9,1
19,19,1,5,11,1
20,17,1,5,1,1
22,16,1,4,11,1
23,17,1,4,5,1
23,18,1,3,0,2
24,17,1,3,2,2
25,17,1,3,4,2
25,18,1,3,6,2
24,19,1,3,8,2
23,19,1,3,10,2
